,organisation,effectif
969,court-martial,1
970,court of audit,1
971,court of appeal of belgium,1
972,trust company,1
973,trust,1
974,tribunal judiciaire,1
975,treaty-based human rights body,1
976,travel agency,1
977,transcontinental railroad,1
978,training organization,1
979,training facility,1
980,tourist attraction,1
981,defunct court,1
982,deemed university,1
983,county of nevada,1
984,county government in california,1
985,corps,1
986,corporated law firm,1
987,convention,1
988,consumer ministry,1
989,united states article iv court,1
990,united states army formation,1
991,united and uniting churches,1
992,un fact-finding mission,1
993,truth and reconciliation commission,1
994,trustee,1
995,cultural club,1
996,cultural association,1
997,cruise line,1
998,crown corporation,1
999,commission of inquiry,1
1000,comedy troupe,1
1001,collegiate secret societies in north america,1
1002,collegiate body,1
1003,administrative corps,1
1004,administrative building,1
1005,university correspondence course,1
1006,universal bank,1
1007,united states territorial court,1
1008,united states special operations forces,1
1009,united states congressional select or special committee,1
1010,consultant,1
1011,concerted school,1
1012,competition regulator,1
1013,court of appeal (prussia),1
1014,county seat,1
1015,chancery,1
1016,chamber of deputies,1
1017,central government,1
1018,air force unit,1
1019,agricultural school,1
1020,agricultural college,1
1021,aerospace manufacturer,1
1022,advisory group,1
1023,college in france,1
1024,college for advanced studies,1
1025,college athletic conference,1
1026,coast guard,1
1027,civil decoration,1
1028,city in the united states,1
1029,commune of france,1
1030,committee of national security,1
1031,zionist youth movement,1
1032,abbey,1
1033,academic hall of the university of oxford,1
1034,voluntary controlled school,1
1035,verwaltungshochschule,1
1036,"version, edition or translation",1
1037,urban district of hamburg,1
1038,bachelor's degree,1
1039,automobile manufacturer,1
1040,athenaeum,1
1041,association under the french law of 1901,1
1042,youth program,1
1043,yacht club,1
1044,writing circle,1
1045,broadcasting authority,1
1046,brickworks,1
1047,nursing home,1
1048,noble family,1
1049,newsletter,1
1050,news agency,1
1051,new zealand public service department,1
1052,new york state court,1
1053,new university,1
1054,alumni association,1
1055,orchestra,1
1056,opposition to immigration,1
1057,open university,1
1058,open joint-stock company,1
1059,ombudsman,1
1060,oil company,1
1061,oberste bundesbehörde,1
1062,obergericht,1
