,uriOrg,labelOrg,typesOrg,orgMainType,tot_members_number
5537,http://www.wikidata.org/entity/Q7401499,Saint Joseph's Academy,catholic school | secondary school,educational institution,1
5536,http://www.wikidata.org/entity/Q7401379,Saint Ignatius College,high school,educational institution,1
5535,http://www.wikidata.org/entity/Q7401292,Saint George's College,high school | private school,educational institution,1
5534,http://www.wikidata.org/entity/Q7401152,Saint Cronan's Boys' National School,nonprofit organization | primary school,scientific organisation,1
5533,http://www.wikidata.org/entity/Q7401036,Saint Benedict's Preparatory School,boarding school,educational institution,1
5565,http://www.wikidata.org/entity/Q741421,Supreme Court of Sweden,supreme court,not classified organisation,1
5564,http://www.wikidata.org/entity/Q7414060,San Francisco Law School,law school,educational institution,1
5563,http://www.wikidata.org/entity/Q7413520,San Carlos High School,secondary school,educational institution,1
5562,http://www.wikidata.org/entity/Q7413434,San Bernardino High School,secondary school,educational institution,1
5559,http://www.wikidata.org/entity/Q74117381,Bombay Anthropological Society,voluntary association,not classified organisation,1
868,http://www.wikidata.org/entity/Q126511394,Radford School,private school,educational institution,1
864,http://www.wikidata.org/entity/Q12625192,Hyehwa Girls' High School,high school,educational institution,1
863,http://www.wikidata.org/entity/Q12621965,Pohang High School,high school,educational institution,1
861,http://www.wikidata.org/entity/Q12618300,Jin Young Daechang Elementary School,primary school,educational institution,1
860,http://www.wikidata.org/entity/Q12617640,Choongang High School,high school in south korea,educational institution,1
859,http://www.wikidata.org/entity/Q12616471,Jeju Jeil High School,high school in south korea,educational institution,1
858,http://www.wikidata.org/entity/Q12615053,Jeonnam High School,high school,educational institution,1
857,http://www.wikidata.org/entity/Q12613550,Incheon Changyeong Primary School,primary school,educational institution,1
856,http://www.wikidata.org/entity/Q12607327,Youngdong High School,high school,educational institution,1
854,http://www.wikidata.org/entity/Q12601151,Seoul High Court,appellate court of south korea,not classified organisation,1
5556,http://www.wikidata.org/entity/Q7406209,Saltus Grammar School,school,educational institution,1
839,http://www.wikidata.org/entity/Q12583741,Kyungsang Middle School,middle school,educational institution,1
838,http://www.wikidata.org/entity/Q12583665,Gyungbuk Girls' High School,girls' high school,educational institution,1
5584,http://www.wikidata.org/entity/Q7432878,Schreiner University,private not-for-profit educational institution | university,university,1
5583,http://www.wikidata.org/entity/Q7431156,Schenectady High School,high school,educational institution,1
5581,http://www.wikidata.org/entity/Q7429130,Saybrook College,residential college,educational institution,1
5580,http://www.wikidata.org/entity/Q7427854,Savannah High School,high school,educational institution,1
5579,http://www.wikidata.org/entity/Q742770,Bulgarian Tourist Union,destination marketing organization | voluntary association,not classified organisation,1
5578,http://www.wikidata.org/entity/Q7427076,Sauder School of Business,business school,educational institution,1
5577,http://www.wikidata.org/entity/Q7426038,Satellite High School,high school,educational institution,1
5575,http://www.wikidata.org/entity/Q7421092,Sapporo Gakuin University,university,university,1
5572,http://www.wikidata.org/entity/Q7417012,Sandusky High School,high school | public school,educational institution,1
5570,http://www.wikidata.org/entity/Q7416227,Sandgate District State High School,high school | public school,educational institution,1
5569,http://www.wikidata.org/entity/Q7416007,Sandbach School,boys' school | free school | grammar school | secondary school,educational institution,1
5568,http://www.wikidata.org/entity/Q7415212,San Rafael High School,high school | public school,educational institution,1
5567,http://www.wikidata.org/entity/Q7414732,San Luis Gonzaga National University,public university,public university,1
5566,http://www.wikidata.org/entity/Q7414404,San Joaquin Valley College,college,educational institution,1
5598,http://www.wikidata.org/entity/Q7444980,Security Intelligence Review Committee,government agency,company or gov. agency,1
5595,http://www.wikidata.org/entity/Q7440373,Seaford College,boarding school | independent school,educational institution,1
5594,http://www.wikidata.org/entity/Q7440209,Seabreeze High School,high school,educational institution,1
5593,http://www.wikidata.org/entity/Q7438753,Scranton Preparatory School,school,educational institution,1
5592,http://www.wikidata.org/entity/Q7437779,Scottish History Society,text publication society,learned society,1
5591,http://www.wikidata.org/entity/Q7436493,Scott High School,high school,educational institution,1
853,http://www.wikidata.org/entity/Q12600092,Salesio Girls' High School,girls' high school,educational institution,1
851,http://www.wikidata.org/entity/Q12598907,Puan High School,high school,educational institution,1
850,http://www.wikidata.org/entity/Q12598791,Busan Nam High School,high school,educational institution,1
849,http://www.wikidata.org/entity/Q12598381,Posung High School,high school,educational institution,1
848,http://www.wikidata.org/entity/Q125981642,Q125981642,educational facility | primary school | private school,research facility,1
