,typesOrg,number,numberOrg
332,japanese high school,14,1
333,political party,14,1
334,political police | secret police,14,2
335,educational institution | research institute,14,2
336,public educational institution of the united states,14,1
337,educational organization | public university,14,2
338,educational institution | open-access publisher | organization | public university,14,4
339,boarding school | high school | secondary school,14,3
340,école d'application,14,1
341,historical society,13,1
342,educational organization | higher education institution | university,13,3
343,educational institution | law school,13,2
344,educational institution | organization | university,13,3
345,collegiate university | educational organization | higher education institution | public research university,13,4
346,academic publisher | public research university | university,13,3
347,private school | public policy school,13,2
348,academy of sciences | national academy | open-access publisher | organization | school,13,5
349,catholic seminary | university building,13,2
350,census-designated place in the united states | naval academy | observatory | public educational institution of the united states,13,4
351,academic publisher | academy | academy of sciences,13,3
352,public university | university of excellence,13,2
353,academy of sciences | national academy | organization | public body,13,4
354,advisory board,13,1
355,open-access publisher | production company | public university,13,3
356,academic publisher | public educational institution of the united states | university,13,3
357,appellate court,13,1
358,military university | private not-for-profit educational institution,13,2
359,cultural property | public university | university campus,12,3
360,land-grant university | public educational institution of the united states | public research university | united states senior military college | university,12,5
361,catholic school | high school,12,2
362,open-access publisher | organization,12,2
363,q1265246 | studentenverbindung,12,2
364,academy of sciences | national academy | swedish royal academies,12,3
365,public policy school,12,1
366,ancient university of scotland | open-access publisher | public university,12,3
367,boys' school | independent school | school,12,3
368,national academy,12,1
369,educational institution | open-access publisher | university,12,3
370,general education liceum,12,1
371,high school | private school,12,2
372,archive | open-access publisher | organization | public university,12,4
373,campus university,12,1
374,boarding school | high school | public institution,11,3
375,business,11,1
376,building | secondary school,11,2
377,learned society | nonprofit organization,11,2
378,land-grant university | open-access publisher | public educational institution of the united states | public university | research university,11,5
379,executive branch | government,11,2
380,election commission,11,1
381,constituent college | educational organization | higher education institution | open-access publisher | public research university,11,5
382,primary school | public school,11,2
383,private school | university-preparatory school,11,2
384,open-access publisher | private university,11,2
385,academy of sciences | building | national academy | swedish royal academies,11,4
386,academy of sciences | archive | database,11,3
387,academy,11,1
388,school | school building,11,2
389,catholic university | jesuit university | open-access publisher | private university,11,4
390,research institute,11,1
391,building | former educational institution,11,2
392,united states senior military college,11,1
393,dutch court of appeal,10,1
394,educational institution | school of international relations | university,10,3
395,boarding school | independent school | school | secondary school,10,4
396,academy of sciences | book publisher | organization,10,3
397,educational organization | higher education institution | open-access publisher | public research university,10,4
398,educational organization | public university | red brick university | research university,10,4
399,educational organization | public research university,10,2
400,church college | liberal arts college | private not-for-profit educational institution,10,3
401,archive | university,10,2
402,day school | secondary school,10,2
403,colleges that change lives | conservatory | liberal arts college | private not-for-profit educational institution | university,10,5
404,boys' school | higher secondary school | urban school,10,3
405,jesuit university | private not-for-profit educational institution,10,2
406,historical society | learned society | nonprofit organization | research library,10,4
407,institute | organization,10,2
408,high court,10,1
409,high school | public school | school building,10,3
410,higher education institution directly under ministry of education of the people’s republic of china | university,10,2
411,high school | school,10,2
412,girls' school | high school,10,2
413,architectural structure | open-access publisher | public educational institution | university,10,4
414,juvenile political organization,10,1
415,college | colleges that change lives | liberal arts college | private not-for-profit educational institution,10,4
416,judicial council,10,1
417,law school | public educational institution of the united states,10,2
418,catholic school | educational organization | private not-for-profit educational institution | private university,9,4
419,academic publisher | catholic university | educational institution | organization,9,4
420,charitable organization | public university,9,2
421,former entity | higher education institution | public university | university,9,4
422,geographic location | liberal arts college | private not-for-profit educational institution,9,3
423,law school | single-family detached home,9,2
424,military school,9,1
425,law school | organization | professional school,9,3
426,meiji era law school,9,1
427,land-grant university | public educational institution of the united states | public research university | publishing company,9,4
428,architectural structure | liberal arts college in the united states | private not-for-profit educational institution,9,3
429,labor union | organization,9,2
430,boys' school | day school | independent school,9,3
431,high school | jesuit school,9,2
432,church college | private not-for-profit educational institution | seminary,9,3
433,boarding school | boys' high school,9,2
434,public school | secondary school,9,2
435,educational institution | open-access publisher | organization | pontifical university,9,4
436,nonprofit organization | secondary school,9,2
437,boarding school | secondary school | state-integrated school,9,3
438,open-access publisher | pontifical university | private educational institution | private not-for-profit educational institution | university | university campus,9,6
439,academy school | secondary school,9,2
440,boarding school | charitable organization | independent school | secondary school,9,4
441,academy school | boys' school | grammar school | secondary school,9,4
442,academy of sciences | learned society | national academy | open-access publisher,9,4
443,catholic university | open-access publisher | pontifical university | private university | research institute,9,5
444,college | school of international relations,9,2
445,day school | independent school | venue,9,3
446,swedish royal academies,9,1
447,united states district court,9,1
448,institute,9,1
449,commission,9,1
450,jesuit university | open-access publisher | pontifical university | private educational institution | private not-for-profit educational institution | university,9,6
451,international court | principal organ of the united nations,9,2
452,imperial universities of japan,9,1
453,boarding school | public school | secondary school,8,3
454,open-access publisher | public university | publishing company,8,3
