,uriPer_x,uriPer_y,orgs,numberOrgs,uriOrgs,periods_x,BeginY_x,EndY_x,BeginY_y,EndY_y,periods_y
68798,http://www.wikidata.org/entity/Q4762217,http://www.wikidata.org/entity/Q5498125,Tulane University|Tulane University Law School,2,http://www.wikidata.org/entity/Q1193547|http://www.wikidata.org/entity/Q14691855,1900-1924,1936.0,1947.0,1940.0,1951.0,1900-1924
68854,http://www.wikidata.org/entity/Q4762747,http://www.wikidata.org/entity/Q6900300,University of Santo Tomas Faculty of Civil Law|University of Santo Tomas,2,http://www.wikidata.org/entity/Q7896259|http://www.wikidata.org/entity/Q1401524,1925-1949,1956.0,1967.0,1957.0,1968.0,1925-1949
68868,http://www.wikidata.org/entity/Q4762747,http://www.wikidata.org/entity/Q7367259,University of Santo Tomas Faculty of Civil Law|University of Santo Tomas,2,http://www.wikidata.org/entity/Q7896259|http://www.wikidata.org/entity/Q1401524,1925-1949,1956.0,1967.0,1961.0,1972.0,1925-1949
68906,http://www.wikidata.org/entity/Q4764250,http://www.wikidata.org/entity/Q8016145,University of Edinburgh|Balliol College,2,http://www.wikidata.org/entity/Q160302|http://www.wikidata.org/entity/Q805285,1925-1949,1964.0,1975.0,1960.0,1971.0,1925-1949
68929,http://www.wikidata.org/entity/Q4766206,http://www.wikidata.org/entity/Q5364993,University of Oregon|University of Oregon School of Law,2,http://www.wikidata.org/entity/Q766145|http://www.wikidata.org/entity/Q7896029,1950-1974,1969.0,1980.0,1969.0,1980.0,1950-1974
68949,http://www.wikidata.org/entity/Q4766208,http://www.wikidata.org/entity/Q7212,Columbia University|New York University School of Law,2,http://www.wikidata.org/entity/Q49088|http://www.wikidata.org/entity/Q846173,1925-1949,1945.0,1956.0,1945.0,1956.0,1925-1949
68955,http://www.wikidata.org/entity/Q4766324,http://www.wikidata.org/entity/Q5081897,University of Notre Dame|Notre Dame Law School,2,http://www.wikidata.org/entity/Q178848|http://www.wikidata.org/entity/Q7063457,1925-1949,1967.0,1978.0,1972.0,1983.0,1950-1974
68985,http://www.wikidata.org/entity/Q4766324,http://www.wikidata.org/entity/Q8013376,University of Notre Dame|Notre Dame Law School,2,http://www.wikidata.org/entity/Q178848|http://www.wikidata.org/entity/Q7063457,1925-1949,1967.0,1978.0,1962.0,1973.0,1925-1949
69039,http://www.wikidata.org/entity/Q4766606,http://www.wikidata.org/entity/Q5687855,University of Glasgow School of Law|University of Glasgow,2,http://www.wikidata.org/entity/Q7895465|http://www.wikidata.org/entity/Q192775,1950-1974,1970.0,1981.0,1964.0,1975.0,1925-1949
69040,http://www.wikidata.org/entity/Q4766606,http://www.wikidata.org/entity/Q5931699,University of Glasgow School of Law|University of Glasgow,2,http://www.wikidata.org/entity/Q7895465|http://www.wikidata.org/entity/Q192775,1950-1974,1970.0,1981.0,1971.0,1982.0,1950-1974
